Species;Macroclimate;BIO1;BIO2;BIO3;BIO4;BIO5;BIO6;BIO7;BIO8;BIO9;BIO10;BIO11;BIO12;BIO13;BIO14;BIO15;BIO16;BIO17;BIO18;BIO19;"""bio20"""
chapmanii ;Warm Temperate;211.4018425;116.6854055;46.22742075;4979.07997;326.2077998;75.468485;250.7393153;269.7061323;168.6771145;270.6378963;144.2897283;1337.327961;188.7274793;57.909782;41.034189;529.1307478;207.5218398;514.5506723;244.3737318;321.608908
chenii;Warm Temperate;166.9395614;82.67264273;27.21362773;7783.86447;316.0455295;12.35994591;303.6855836;225.7597141;76.63304545;263.3158695;63.36794136;1295.531603;221.1738968;34.16338955;57.03407364;573.1973945;125.0931877;507.8071777;143.7495491;448.1042068
chrysolepis;Mediterranean;120.0544637;142.5087962;47.56713735;5616.539835;292.5065783;-6.313830257;298.8204087;71.33717525;184.4750514;195.0477825;54.67584396;909.5598596;169.3417103;4.106849941;78.37125568;460.6478292;25.62458937;48.79254939;442.9762458;435.0232398
coccifera;Mediterranean;155.3129298;108.8064707;39.48710017;5546.783972;308.3122441;36.11567672;272.1965676;109.3623819;222.4307938;229.8168267;87.85930466;578.145905;89.85827293;5.309612241;58.09399;250.1306605;30.14654466;37.47594;230.567716;219.9841158
coccinea;Cold Temperate;133.9147486;125.5007768;35.40004716;8204.518325;307.8591215;-44.43347216;352.2925941;132.0471363;136.0942259;236.0185889;23.91611041;1241.326938;135.0996116;73.27663399;16.96714912;370.0629944;249.6066079;311.280663;307.5469504;120.4563865
corrugata;Winter-dry temperate to Tropical;197.2950933;101.9922109;74.78765121;882.7347842;265.9562985;129.9001621;136.056137;199.5914688;193.7986764;207.2301567;184.9479245;2554.26191;421.3030239;40.10902;63.68466758;1096.798926;150.2590058;524.9869091;429.0151645;946.5399202
costaricensis ;Cold Temperate;113.6516233;83.22554776;77.42021367;616.7916796;166.5081494;59.6506502;106.8574984;115.7991043;108.2987788;119.4331106;104.311608;2694.654859;422.3713692;45.46959918;58.31224571;1106.27769;164.1723408;789.7173455;320.2508869;942.1053492
crassifolia;Winter-dry temperate to Tropical;159.2295258;152.5888488;63.49493279;2842.497699;278.254806;35.95071369;242.3040918;185.6211038;147.424131;192.7539778;120.9611625;959.1533735;213.1721169;11.20979328;90.71552869;549.717223;46.13099328;388.5829657;87.97269836;503.5862297
crassipes;Winter-dry temperate to Tropical;155.6537319;154.171895;67.05628594;1956.319993;266.5819033;38.2228;228.3591027;168.43118;139.7720072;178.0409926;128.1888387;881.6931888;186.8585221;7.879837826;90.96619051;510.7499154;30.60179594;272.4077393;41.5112979;480.1481195
crispipilis ;Winter-dry temperate to Tropical;163.2283058;126.5496758;73.21171333;1116.546999;246.5032692;74.89394167;171.6093292;171.2608142;148.8638742;174.8605167;146.7836842;1308.960737;246.7013475;16.33753917;78.56486583;629.9756167;60.7128775;438.1850383;66.70595833;569.2627392
dalechampii;Cold Temperate;83.04259065;96.52913806;31.5183129;7215.774172;242.9249035;-58.31625129;301.2411574;143.7645206;33.91479032;173.8562742;-11.43465387;810.2813723;108.3014858;34.25102677;35.14153774;304.6757548;116.9200677;276.3959197;146.8055935;187.7556871
dentata;Cold Temperate;131.3788743;94.67371431;33.04981052;7263.278218;275.2806545;-23.90940034;299.1900553;217.1300486;46.97540172;220.9718819;35.72499017;1533.909989;277.9093945;36.35236776;67.46166328;734.9420519;123.8045795;718.0266348;139.5759152;611.1374724
depressa;Winter-dry temperate to Tropical;152.6586548;143.5872439;65.14667636;2299.889935;259.9398518;40.17923333;219.7606188;168.4820664;131.7008936;178.7639515;120.5773697;901.3260439;181.6737812;18.0727897;71.66045121;446.6169764;64.18646818;251.0397076;85.4004197;382.4305082
dolicholepis;Winter-dry temperate to Tropical;132.51758;107.3975686;39.36385714;5913.55039;258.3077336;-16.99884786;275.3065821;200.2494457;52.69720071;203.9780521;51.70579714;926.9141193;184.7282164;8.681895714;81.44823786;497.8515793;32.63596857;493.2617929;32.81669714;465.2156107
durifolia;Arid;149.6603948;163.5329914;57.77781247;4151.16337;288.9226713;6.350952581;282.571718;192.9900254;138.2567911;199.6282508;95.08751022;752.5010705;190.8573698;8.664122366;94.49131968;467.8788482;39.79725269;405.4249098;96.83441828;428.0815955
elliptica;Winter-dry temperate to Tropical;205.87;133.48;67.52;1686.71;301.68;104.81;196.87;216.43;196.14;225.07;182.2;1596.73;331.06;17.01;92.53;888.28;62.33;462.99;102.04;825.95
emoryi;Arid;150.8468237;160.2112311;47.16912725;6533.440267;326.2034467;-9.559840092;335.7632871;223.8632766;178.4996725;235.7146932;69.9066322;506.2327436;103.6841191;7.488049725;68.21850211;244.3537846;36.74395936;208.848546;122.4545827;207.6098252
engleriana;Warm Temperate;146.9928553;89.28459033;32.721543;6545.779321;277.0049217;2.789780333;274.215142;209.297477;67.047956;226.3329443;58.21363167;1294.884702;235.6048877;24.69173333;69.239597;637.2431527;86.00837167;581.0838537;98.871712;551.234781
fabri;Warm Temperate;162.7331247;85.22728617;27.79346766;7827.952034;312.889394;6.988868298;305.900527;239.823157;73.89072511;259.1104249;57.86012681;1196.627183;210.9009634;28.41310298;62.95493;556.0451006;102.269797;506.9511943;115.3492811;453.7753036
faginea;Mediterranean;130.408053;104.7761102;37.6882743;5836.57389;287.0691663;13.12168802;273.9474774;102.2499219;179.7290712;208.3615944;59.72529779;627.7046151;81.81223942;18.2848907;39.41510709;223.905716;77.1640114;88.40630105;188.4160553;146.7417046
falcata;Warm Temperate;170.8939661;127.3444578;37.29112512;7578.286802;335.7254722;-4.946847073;340.6723178;219.0033683;99.93993415;264.8818263;69.30396317;1167.124494;149.7239298;56.48040244;28.39407951;387.5306468;198.8055873;322.3511712;229.271792;188.7250595
frainetto;Mediterranean;110.8238432;96.77273652;32.62983045;6897.260496;269.4715158;-22.79885985;292.2703755;97.34469258;139.8535623;198.2806502;22.10025061;737.8744945;98.6568103;30.18885682;33.74181636;268.5306314;106.2083736;144.9258586;215.3332048;162.3222578
fusiformis;Arid;197.5268292;139.9704868;49.4499216;5196.358257;333.9676218;45.6875464;288.2800748;238.8792128;134.979893;258.954782;126.4117442;629.6404836;119.829819;18.4584882;61.5793408;266.9867396;67.0917154;215.835954;69.1441916;199.8950242
garryana;Mediterranean;116.571846;144.3643836;49.04727551;5316.110237;289.5427905;-4.193617592;293.7364074;57.6684098;185.2003447;187.0031018;54.23620367;1084.544508;203.7130632;3.610131224;80.07675253;556.8241926;25.41761841;33.45334155;542.7323324;531.4065742
geminata;Warm Temperate;204.6271508;122.9216932;46.08678703;5342.968193;328.0351789;61.57690622;266.4582732;264.1415832;170.7492781;268.8795227;132.7251838;1367.106964;184.6692389;62.73800622;36.3975127;509.5589849;219.8842081;500.3035651;272.1073965;289.6747768
germana;Winter-dry temperate to Tropical;199.7670019;128.396285;59.00352135;2908.668519;302.7591071;86.20884231;216.5502646;223.3688571;167.0075165;230.5597463;158.7171702;1397.982392;287.1729142;29.85348288;77.557385;707.8933802;98.63794019;483.3043712;108.738006;609.25544
gilva;Warm Temperate;170.3471462;73.34313474;33.90987263;5288.062816;279.3026958;56.79294816;222.5097462;221.0063711;116.2332538;235.1700522;101.1229203;2517.036886;397.4814924;85.70335724;49.80667974;1047.161665;282.6157936;935.8141324;332.9737532;764.5458714
glabrescens;Winter-dry temperate to Tropical;161.2042451;142.1122457;68.2637619;1685.304061;263.1872356;56.05597253;207.1312633;170.0737948;144.0002743;180.8869082;137.7342114;1123.377004;224.6325703;15.2217381;84.32898468;601.5310576;55.03275278;279.7546029;75.49947696;546.4983048
glauca;Winter-dry temperate to Tropical;165.8775016;90.38004558;40.04776581;5108.940478;271.5737995;39.32199209;232.2518074;218.7300919;106.6175002;226.1789879;96.50418302;1788.384792;371.9238558;28.34030047;78.01266372;970.1389684;103.1149051;930.182466;117.650504;867.0240633
greggii;Arid;141.9429879;146.3299263;64.73663292;2528.754847;251.8799226;26.53663817;225.343285;162.3843258;114.7717379;170.1677016;106.0522314;627.5988138;115.368766;16.22483217;63.3350835;283.9430396;58.36532425;223.7085386;63.75450833;225.5777154
griffithii;Winter-dry temperate to Tropical;148.6405619;104.3690686;43.16613695;4976.197539;250.7494737;7.525630508;243.2238434;202.9940397;81.59106441;205.5692369;79.12110847;1300.215179;266.3655015;13.56643661;81.37711;718.4998839;54.13158051;690.3193695;56.32508576;664.3683034
grisea;Arid;131.8549448;168.0482481;48.50563375;6458.911626;311.2026789;-32.56344;343.7661206;203.4393803;154.7964852;215.5034255;51.28385469;519.2090616;102.2492106;9.167733438;64.76842688;247.4644227;41.77418125;212.4710792;117.8289336;205.6902415
gulielmitreleasei;Winter-dry temperate to Tropical;174.8723907;93.29360069;79.08559793;577.6000448;234.7672707;117.5951431;117.1721269;174.3803734;172.458079;181.4685466;166.8456862;2725.639471;442.0194017;40.6972131;61.13114621;1142.345399;153.4679045;613.5157752;450.8796393;988.8774945
hemisphaerica;Warm Temperate;192.6610136;126.5147889;43.48458318;6087.850084;328.9236118;39.498265;289.4253466;211.8090175;177.2562586;266.8102507;111.2022716;1378.751954;174.147822;67.67206409;28.9382325;475.7883807;240.6834459;446.6343902;327.5578023;235.1049348
hintoniorum ;Arid;127.6;143.1333333;66.31333333;2556.8;230.9333333;15.23333333;215.7333333;150.3;110.7666667;154.9666667;93.26666667;606;100.3333333;17.66666667;61.04666667;280;64.33333333;243.3333333;72.33333333;215.6666667
humboldtii;Winter-dry temperate to Tropical;163.3885625;95.14519036;86.51033179;303.3193289;218.5963032;109.1400093;109.4562932;161.1226725;163.2008546;166.6378754;159.2385304;2083.788157;276.7836764;76.37799536;36.30357321;718.0157475;278.6443168;527.8658996;591.15841;439.3714307
hypoxantha;Arid;16.49045455;14.90454545;63.31909091;338.2481818;27.90227273;3.888181818;24.01454545;19.49272727;14.12227273;20.18409091;11.96;576.0909091;108.1363636;11.04545455;68.72818182;295.6818182;42.40909091;199.3181818;54.77272727;253.2727273
